Comment,Designator,Footprint,LCSC
~,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91",LED_0402_1005Metric,C1322304
Fiducial_1mm_Mask2mm,FID1,Fiducial_1mm_Mask2mm,
100nF,C10,C_0402_1005Metric,
"5,1kΩ",R13,R_0402_1005Metric,
220,R9,R_0402_1005Metric,
100nF,C14,C_0402_1005Metric,
100nF,C8,C_0402_1005Metric,
100nF,C9,C_0402_1005Metric,
NC,C2,C_0402_1005Metric,
NC,C7,C_0402_1005Metric,
Crystal,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,
TBD,R15,R_0402_1005Metric,
Varistor,RV1,R_0402_1005Metric,
1µF,C4,C_0402_1005Metric,
10uF,C15,C_0603_1608Metric,
FerriteBead_Small,FB1,R_0402_1005Metric,
NC,C18,C_0603_1608Metric,
"5,1kΩ",R6,R_0402_1005Metric,
220,R7,R_0402_1005Metric,
100K,R18,R_0402_1005Metric,
"5,1kΩ",R11,R_0402_1005Metric,
RT9080,U2,SOT-23-5,
Fiducial_1mm_Mask2mm,FID2,Fiducial_1mm_Mask2mm,
100nF,C16,C_0402_1005Metric,
220,R14,R_0402_1005Metric,
100nF,C1,C_0402_1005Metric,
"5,1kΩ",R5,R_0402_1005Metric,
SW_MEC_5G,SW3,SW_PUSH_6mm,
NC,J4,U.FL_Molex_MCRF_73412-0110_Vertical,
100nF,C3,C_0402_1005Metric,
TBD,C6,C_0402_1005Metric,
TBD,C5,C_0402_1005Metric,
2K,R16,R_0402_1005Metric,
1µF,C12,C_0402_1005Metric,
MCP73831,U4,SOT-23-5,
220,R12,R_0402_1005Metric,
SW_MEC_5G,SW1,SW_PUSH_6mm,
Fiducial_1mm_Mask2mm,FID3,Fiducial_1mm_Mask2mm,
220,R8,R_0402_1005Metric,
220,R10,R_0402_1005Metric,
100nF,C17,C_0402_1005Metric,
Conn_01x08,J2,PinHeader_1x08_P2.54mm_Vertical,
1K,R17,R_0402_1005Metric,
D_Schottky_Small,D93,D_SOD-323,
100nF,C13,C_0402_1005Metric,
220,R2,R_0402_1005Metric,
NC,L1,R_0402_1005Metric,
220,R4,R_0402_1005Metric,
220,R3,R_0402_1005Metric,
BSS84,Q1,SOT-23,
ESP32-C3,U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,
"5,1kΩ",R19,R_0402_1005Metric,
1µF,C11,C_0402_1005Metric,
TC1047AxNB,U3,SOT-23,
220,R1,R_0402_1005Metric,
Conn_01x02,J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Battery_Cell,BT1,BatteryHolder_MPD_BH-18650-PC2,
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,
