Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_MPD_BH-18650-PC2,9.84099,40.09099,270.0,bottom
C1,100nF,C_0402_1005Metric,22.34099,29.84099,-90.0,top
C10,100nF,C_0402_1005Metric,30.61099,32.34099,0.0,top
C11,1µF,C_0402_1005Metric,21.09099,12.29099,-90.0,top
C12,1µF,C_0402_1005Metric,22.79099,16.09099,180.0,top
C13,100nF,C_0402_1005Metric,25.84099,27.09099,180.0,top
C14,100nF,C_0402_1005Metric,28.85099,74.16099,90.0,top
C15,10uF,C_0603_1608Metric,23.35099,74.39099,-90.0,top
C16,100nF,C_0402_1005Metric,30.44099,15.99099,180.0,top
C17,100nF,C_0402_1005Metric,30.29099,27.99099,90.0,top
C18,NC,C_0603_1608Metric,23.09099,18.59099,0.0,top
C2,NC,C_0402_1005Metric,23.84099,29.34099,0.0,top
C3,100nF,C_0402_1005Metric,25.34099,28.59099,90.0,top
C4,1µF,C_0402_1005Metric,27.34099,42.34099,90.0,top
C5,TBD,C_0402_1005Metric,20.57099,34.84099,0.0,top
C6,TBD,C_0402_1005Metric,20.34099,30.57099,90.0,top
C7,NC,C_0402_1005Metric,27.36099,37.84099,90.0,top
C8,100nF,C_0402_1005Metric,28.39099,27.99099,-90.0,top
C9,100nF,C_0402_1005Metric,28.34099,37.84099,90.0,top
D1,~,LED_0402_1005Metric,16.82599,182.34099,0.0,top
D10,~,LED_0402_1005Metric,16.82599,72.34099,180.0,top
D11,LED_CHR,LED_0402_1005Metric,25.63099,78.65099,0.0,top
D12,~,LED_0402_1005Metric,16.82599,178.34099,0.0,top
D13,~,LED_0402_1005Metric,16.82599,176.34099,180.0,top
D14,~,LED_0402_1005Metric,16.82599,142.34099,0.0,top
D15,~,LED_0402_1005Metric,16.82599,140.34099,180.0,top
D16,~,LED_0402_1005Metric,16.82599,110.34099,0.0,top
D17,~,LED_0402_1005Metric,16.82599,108.34099,180.0,top
D18,~,LED_0402_1005Metric,16.82599,86.34099,0.0,top
D19,~,LED_0402_1005Metric,16.82599,84.34099,180.0,top
D2,~,LED_0402_1005Metric,16.82599,180.34099,180.0,top
D20,~,LED_0402_1005Metric,16.82599,70.34099,0.0,top
D21,~,LED_0402_1005Metric,16.82599,68.34099,180.0,top
D22,~,LED_0402_1005Metric,16.82599,66.34099,0.0,top
D23,~,LED_0402_1005Metric,16.82599,64.34099,180.0,top
D24,~,LED_0402_1005Metric,16.82599,174.34099,0.0,top
D25,~,LED_0402_1005Metric,16.82599,172.34099,180.0,top
D26,~,LED_0402_1005Metric,16.82599,138.34099,0.0,top
D27,~,LED_0402_1005Metric,16.82599,136.34099,180.0,top
D28,~,LED_0402_1005Metric,16.82599,106.34099,0.0,top
D29,~,LED_0402_1005Metric,16.82599,104.34099,0.0,top
D3,~,LED_0402_1005Metric,16.82599,146.34099,0.0,top
D30,~,LED_0402_1005Metric,16.82599,82.34099,0.0,top
